Company,City,Addrs,zip,lat,lng
Sussmann & Steinhauser Gmbh,Kempten (Allgäu), Glasschleiferstr. 14 87600 Kaufbeuren,87600,47.881157,10.624574
Dr. Duenner Import-export Gmbh,München, Bahnhofstr. 24 83052 Bruckmuhl,83052,47.882883,11.914626
Joy International Marketing Ltd,Rosenheim, Kirchpl. 5 83257 Gstadt,83257,47.8844,12.417751
Alptec Technische Kunststoffe Gmbh,Rosenheim, 83254 Breitbrunn,83254,47.89196,12.40282
Lactis-hygiene Gmbh Reinigungs- Und...,Kempten (Allgäu), Memminger Str. 1 87758 Kronburg,87758,47.904756,10.155883
Martina Gebhardt Naturkosmetik Gmbh,Augsburg, St.-wendelin-str. 3 86935 Rott,86935,47.907718,10.979959
...,München, Hienlohestr. 24 83624 Otterfing,83624,47.908605,11.675826
Medicon Ehrlich Gmbh,Ravensburg, Zeppelinstr. 4 88410 Bad Wurzach,88410,47.909057,9.899158
Nascacell Gmbh,München, Bahnhofstr. 9-15 82327 Tutzing,82327,47.909587,11.280462
Verla-pharma Arzneimittelfabrik Apotheker...,München, Hauptstr. 9 Pf 1261 82327 Tutzing,82327,47.909587,11.280462
Darco Gmbh & Co. Kg,Germering, Gewerbegebiet 18 82399 Raisting,82399,47.912408,11.108567
Haupt Pharma Wolfratshausen Gmbh,München, Pfaffenrieder Str. 5 Pf 1349 82515 Wolfratshausen,82515,47.913919,11.417906
Tunap Industrie Chemie Gmbh & Co. Produktions-kg,München, Burgermeister-seidl-str. 2 82515 Wolfratshausen,82515,47.913919,11.417906
Ernst Kopf Kg Landesprodukte,Freiburg, 79189 Bad Krozingen,79189,47.915815,7.699852
antonhubnergmbh&co.kg,Freiburg, Schlosstr. 11-17 Pf 49 79238 Ehrenkirchen,79238,47.917361,7.747963
Dr. Schaette Ag,Friedrichshafen, Stahlstr. 5 88339 Bad Waldsee,88339,47.921398,9.752003
Mast Kunststoffe Gmbh & Co. Kg,Friedrichshafen, Holzstr. 5 Pf 1243 88339 Bad Waldsee,88339,47.921398,9.752003
Thews Gmbh,Konstanz, Hesselbuhl 3 Pf 1110 88630 Pfullendorf,88630,47.925954,9.253974
Franz Demmel,Bogenhausen, Graf-arco-str. 1-3 83104 Tuntenhausen,83104,47.935869,12.016502
Kurt Glass Ag Baustoffwerke,Freiburg, Gewerbestr. 13 79258 Hartheim,79258,47.936673,7.627876
Gws Kunststoffspritzgus,Villingen-Schwenningen, Schonbuhlstr. 79292 Pfaffenweiler,79292,47.937252,7.750907
Alber Metallbearbeitungsges. Mbh,Konstanz, Randenstr. 9 88605 Meskirch,88605,47.943025,9.106936
